#NAME?	#NAME?
(1) (Japanese) maple	(1) (Japanischer) Ahorn
It might snow tonight.	Heute Nacht könnte es schneien.
It often rains in October.	Im Oktober regnet es oft.
It rained all day.	Es hat den ganzen Tag geregnet.
It rained yesterday.	Gestern hat es geregnet.
It takes thirty minutes.	Es dauert dreißig Minuten.
It was a stressful week.	Es war eine stressige Woche.
It was a wonderful party.	Es war eine wundervolle Party.
It was boring, so I turned off the TV.	Es war langweilig, also habe ich den Fernseher ausgeschaltet.
It was cold yesterday.	Gestern war es kalt.
It was my brother who called yesterday.	Es war mein Bruder, der gestern anrief.
It was raining all night.	Es regnete die ganze Nacht.
It was the best day of my life.	Es war der beste Tag meines Lebens.
It will be 30 degrees today.	Heute werden es 30 Grad sein.
It will be a great day.	Es wird ein großartiger Tag sein.
It will probably be sunny tomorrow too.	Wahrscheinlich wird es morgen auch sonnig sein.
It won't take long.	Es wird nicht lange dauern.
It'd be great if you could speak Japanese.	Es wäre toll, wenn du Japanisch sprechen könntest.
It's 15 minutes before.	Es ist 15 Minuten vorher.
It's 26 degrees.	Es sind 26 Grad.
It's 300 yen.	Es kostet 300 Yen.
It's 5 o'clock now.	Es ist jetzt 5 Uhr.
It's 5,000 yen.	Es kostet 5.000 Yen.
It's 5:30 now.	Es ist jetzt 17:30 Uhr.
It's September 15th.	Es ist der 15. September.
It's a bit over my budget.	Es liegt etwas über meinem Budget.
It's a gift for my friend.	Es ist ein Geschenk für meinen Freund.
It's a gift, please.	Es ist bitte ein Geschenk.
It's a little big.	Es ist ein wenig groß.
It's a quarter to five.	Es ist Viertel vor fünf.
It's a surprise party!	Es ist eine Überraschungsparty!
It's a ten-minute walk.	Es ist ein zehnminütiger Spaziergang.
It's about 1,000 yen.	Es sind ungefähr 1.000 Yen.
It's about a five-minute walk.	Das is ungefähr eine fünf Minuten Fußstrecke.
It's become winter (recently).	Es ist (vor Kurzem) Winter geworden.
It's been a long day.	Es war ein langer Tag.
It's been a long time.	Es ist lange her.
It's cloudy.	Es ist wolkig.
It's cold, isn't it.	Es ist kalt, nicht wahr?
It's expensive but beautiful.	Es ist teuer, aber schön.
It's foggy this morning.	Heute Morgen ist es neblig.
It's freezing cold.	Es ist eiskalt.
It's getting cooler.	Es wird kühler.
It's getting late.	Es wird spät.
It's good for health.	Es ist gut für die Gesundheit.
It's half an hour later.	Es ist eine halbe Stunde später.
It's half past three.	Es ist halb drei.
It's hot today, isn't it.	Es ist heiß heute, nicht wahr?
It's nice weather today, isn't it.	Es ist doch schönes Wetter heute, nicht wahr?
It's okay.; Not to worry.; Everything is under control.	Es ist okay.; Kein Grund zur Sorge.; Alles ist unter Kontrolle.
It's on me today.	Es liegt heute an mir.
It's open until 5 pm today.	Heute ist es bis 17 Uhr geöffnet.
It's out of stock.	Es ist ausverkauft.
It's raining outside.	Draußen regnet es.
It's raining.	Es regnet.
It's really hot today.	Es ist heute wirklich heiß.
It's snowing.	Es schneit.
It's sunny today.	Heute ist es sonnig.
It's ten past eight.	Es ist zehn nach acht.
It's too hard for me, I can't do it.	Es ist zu schwer für mich, ich kann es nicht.
It's very hot today.	Heute ist es sehr heiß.
January	Januar
Japan	Japan
Japanese (language)	Japanisch (Sprache)
Japanese bedding; futon	Japanische Bettwäsche; Futon
Japanese buckwheat noodle	Japanische Buchweizennudeln
Japanese cars are famous.	Japanische Autos sind berühmt.
Japanese cedar	Japanische Zeder
Japanese chess	Japanisches Schach
Japanese class is fun.	Der Japanischunterricht macht Spaß.
Japanese clothes	Japanische Kleidung
Japanese food is delicious.	Japanisches Essen ist köstlich.
Japanese hotel	Japanisches Hotel
Japanese is difficult, but interesting.	Japanisch ist schwierig, aber interessant.
Japanese is hard to speak but easy to listen to.	Japanisch ist schwer zu sprechen, aber leicht zu hören.
Japanese is harder than English.	Japanisch ist schwieriger als Englisch.
Japanese language	Japanische Sprache
Japanese person	Japaner
Japanese soup bowl; wooden bowl	Japanische Suppenschüssel; Holzschale
Japanese straw mat	Japanische Strohmatte
Japanese style door	Tür im japanischen Stil
Japanese teacher	Japanischlehrer
Japanese-English	Japanisch-Englisch
Juice	Saft
July	Juli
June	Juni
Just a little.	Nur ein bisschen.
Kabuki; traditional Japanese theatrical art	Kabuki; traditionelle japanische Theaterkunst
Keep practicing every day.	Übe jeden Tag weiter.
Key	Schlüssel
Korea	Korea
Koto (Japanese harp)	Koto (japanische Harfe)
Lantern Festival; Festival of the Dead; tray	Laternenfest; Fest der Toten; Tablett
Las Vegas	Las Vegas
Last Sunday I went to the sea.	Letzten Sonntag war ich ans Meer.
Last month was December.	Der letzte Monat war Dezember.
Learning a language takes time.	Das Erlernen einer Sprache braucht Zeit.
Let me check my schedule.	Lassen Sie mich meinen Zeitplan überprüfen.
Let me know if you need anything.	Sag mir Bescheid, wenn du etwas brauchst.
Let me think about it.	Lass mich darüber nachdenken.
Let's all toast!	Lasst uns alle anstoßen!
Let's begin.	Fangen wir an.
Let's blow out the candles.	Lasst uns die Kerzen ausblasen.
Let's clean up tomorrow morning.	Lass uns morgen früh aufräumen.
Let's cook.	Lass uns kochen.
Let's dance!	Lass uns tanzen!
Let's dance.	Lass uns tanzen.
Let's discuss this.	Lassen Sie uns das besprechen.
Let's do homework together.	Lass uns gemeinsam Hausaufgaben machen.
Let's do it another day.	Lass es uns an einem anderen Tag machen.
Let's do something fun.	Lasst uns etwas Lustiges unternehmen.
Let's eat together.	Lass uns zusammen essen.
Let's eat! (before a meal)	Lass uns essen! (vor einer Mahlzeit)
Let's finish.	Kommen wir zum Schluss.
Let's go by bus.	Lass uns mit dem Bus fahren.
Let's go by taxi.	Lass uns mit dem Taxi fahren.
Let's go by train.	Lass uns mit der Bahn fahren.
Let's go eat lunch.	Lass uns zu Mittag essen gehen.
Let's go home together.	Lass uns zusammen nach Hause gehen.
Let's go on a nice day.	Lass uns einen schönen Tag verbringen.
Let's go out for dinner.	Lass uns zum Abendessen ausgehen.
Let's go shopping.	Lass uns einkaufen gehen.
Let's go to a new restaurant.	Lass uns in ein neues Restaurant gehen.
Let's go.	Lass uns gehen.
Let's grab coffee sometime.	Lass uns irgendwann einen Kaffee trinken.
Let's have breakfast together.	Lass uns gemeinsam frühstücken.
Let's have coffee.	Lass uns Kaffee trinken.
Let's make a toast!	Lasst uns anstoßen!
Let's meet again soon.	Lass uns bald wiedersehen.
Let's meet again tomorrow.	Treffen wir uns morgen wieder.
Let's meet at 3 pm.	Treffen wir uns um 15 Uhr.
Let's meet at the station.	Treffen wir uns am Bahnhof.
Let's meet in front of the station.	Treffen wir uns vor dem Bahnhof.
Let's order a pizza.	Lass uns eine Pizza bestellen.
Let's play tennis.	Lass uns Tennis spielen.
Let's play.	Lass uns spielen.
Let's rest.	Lass uns ausruhen.
Let's schedule a call.	Lassen Sie uns einen Anruf vereinbaren.
Let's sing a song.	Lass uns ein Lied singen.
Let's stay home because of the rain.	Bleiben wir wegen des Regens zu Hause.
Let's stop here for today.	Lassen Sie uns hier für heute innehalten.
Let's study Japanese.	Lass uns Japanisch lernen.
Let's study together.	Lasst uns gemeinsam lernen.
Let's take a coffee break.	Machen wir eine Kaffeepause.
Let's take a group photo.	Machen wir ein Gruppenfoto.
Let's take a walk.	Lass uns einen Spaziergang machen.
Let's talk on video tomorrow.	Lass uns morgen per Video sprechen.
Let's talk tomorrow.	Lass uns morgen reden.
Let's talk while walking.	Lass uns beim Gehen reden.
Let's text instead.	Lass uns stattdessen eine SMS schreiben.
Let's visit the museum.	Besuchen wir das Museum.
Let's wait here.	Warten wir hier.
Let's watch a movie.	Schauen wir uns einen Film an.
Lion	Löwe
Look at the clouds! It's going to rain.	Schau dir die Wolken an! Es wird regnen.
Look at those clouds — it is going to rain.	Schauen Sie sich diese Wolken an – es wird regnen.
Look! It is raining outside.	Sehen! Draußen regnet es.
Los Angeles	Los Angeles
Many people work at the factory.	Viele Menschen arbeiten in der Fabrik.
March	März
Mars (planet)	Mars (Planet)
May	Mai
May I ask a question?	Darf ich eine Frage stellen?
May I ask how you'll be paying?	Darf ich fragen, wie Sie bezahlen werden?
May I ask your phone number?	Darf ich nach Ihrer Telefonnummer fragen?
May I come in?	Darf ich reinkommen?
May I have a receipt?	Darf ich eine Quittung haben?
May I have a room key?	Darf ich einen Zimmerschlüssel haben?
May I speak to Maria?	Darf ich mit Maria sprechen?
May I take a photo here?	Darf ich hier ein Foto machen?
May I take a photo?	Darf ich ein Foto machen?
May I take photos here?	Darf ich hier Fotos machen?
May I use your phone?	Darf ich Ihre Telefon benutzen?
May all your wishes come true.	Mögen alle Ihre Wünsche in Erfüllung gehen.
Merry Christmas!	Frohe Weihnachten!
Middle Ages; mediaeval times	Mittelalter; Mittelalter
Milk	Milch
Mine is red.	Meiner ist rot.
Miss	Fräulein
Monday	Montag
Monday (short)	Montag (kurz)
Money doesn't grow on trees.	Geld wächst nicht auf Bäumen.
Mount Everest is the highest mountain.	Der Mount Everest ist der höchste Berg.
Mr	Herr
Mr. Tanaka came.	Herr Tanaka kam.
Mr. Tanaka is a teacher.	Herr Tanaka ist Lehrer.
Mr./Ms....	Herr/Frau....
Mrs	Frau
Mt. Fuji is the highest mountain in Japan.	Der Fuji ist der höchste Berg Japans.
Much as I admire him, I disagree with this decision.	So sehr ich ihn bewundere, bin ich mit dieser Entscheidung nicht einverstanden.
Municipal Hospital	Städtisches Krankenhaus
My English is getting better.	Mein Englisch wird besser.
My battery is dying.	Meine Batterie ist leer.
My battery is low.	Mein Akku ist schwach.
My birthday is on 5 May.	Mein Geburtstag ist am 5. Mai.
My brother is taller than me.	Mein Bruder ist größer als ich.
My brother studies abroad.	Mein Bruder studiert im Ausland.
My car was stolen last night.	Mein Auto wurde letzte Nacht gestohlen.
My cat sleeps all day.	Meine Katze schläft den ganzen Tag.
My class ends at three.	Mein Unterricht endet um drei.
My commute takes an hour.	Mein Weg zur Arbeit dauert eine Stunde.
My company is in Tokyo.	Mein Unternehmen befindet sich in Tokio.
My cousin lives abroad.	Mein Cousin lebt im Ausland.
My father is a doctor.	Mein Vater ist Arzt.
My father is not tall.	Mein Vater ist nicht groß.
My father works at a university.	Mein Vater arbeitet an einer Universität.
My father works in a hospital.	Mein Vater arbeitet in einem Krankenhaus.
My father works.	Mein Vater arbeitet.
My father's car is red.	Das Auto meines Vaters ist rot.
My favorite is ramen.	Mein Favorit ist Ramen.
My friend brought a cake (came with it).	Mein Freund hat einen Kuchen mitgebracht (kam dazu).
My friend lives in India.	Mein Freund lebt in Indien.
My friend made me a cake.	Mein Freund hat mir einen Kuchen gebacken.
My grades improved a lot.	Meine Noten haben sich sehr verbessert.
My grades improved.	Meine Noten verbesserten sich.
My grandfather cooks dinner.	Mein Großvater kocht das Abendessen.
My grandfather is eighty.	Mein Großvater ist achtzig.
My grandmother is wise.	Meine Großmutter ist weise.
My grandmother tells great stories.	Meine Großmutter erzählt tolle Geschichten.
My house is bigger than yours.	Mein Haus ist größer als deins.
My house is here.	Mein Haus ist hier.
My mother is a teacher.	Meine Mutter ist Lehrerin.
My mother is good at cooking.	Meine Mutter kann gut kochen.
My mother is kind.	Meine Mutter ist nett.
My mother is well.	Meiner Mutter geht es gut.
My name is Alex.	Mein Name ist Alex.
My older sister lives in India.	Meine ältere Schwester lebt in Indien.
My phone broke.	Mein Telefon ist kaputt gegangen.
My phone is in my pocket.	Mein Telefon ist in meiner Tasche.
My phone is on silent.	Mein Telefon ist stumm geschaltet.
My phone was stolen.	Mein Telefon wurde gestohlen.
My salary increased.	Mein Gehalt ist gestiegen.
My schedule is busy this week.	Mein Terminkalender ist diese Woche voll.
My sister and I grow flowers.	Meine Schwester und ich züchten Blumen.
My sister has two children.	Meine Schwester hat zwei Kinder.
My sister made a cake and brought it.	Meine Schwester hat einen Kuchen gebacken und ihn mitgebracht.
My stomach hurts.	Mein Magen tut weh.
My temperature is normal.	Meine Temperatur ist normal.
My throat hurts.	Mein Hals tut weh.
My wallet was found on the street.	Meine Brieftasche wurde auf der Straße gefunden.
National Diet; parliament; congress	Nationaler Landtag; Parlament; Kongress
Never have I seen such a beautiful sunset.	Noch nie habe ich einen so schönen Sonnenuntergang gesehen.
New Year's	Silvester
New Year's Day	Neujahr
Next month is busy.	Der nächste Monat ist beschäftigt.
Nice to meet you	Schön, Sie kennenzulernen
Nice to meet you (please treat me well).	Schön dich kennenzulernen (bitte behandle mich gut).
Nice to meet you too.	Freut mich, Sie kennenzulernen.
Nice to meet you.	Freut mich, Sie kennenzulernen.
No Smoking!	Rauchen verboten!
No ice, please.	Bitte kein Eis.
No sooner had I left than it started raining.	Kaum war ich gegangen, begann es zu regnen.
No, I don't have it.	Nein, ich habe es nicht.
No, not yet.	Nein, noch nicht.
No, she doesn't.	Nein, das tut sie nicht.
No; Not at all	NEIN; Überhaupt nicht
North Pole	Nordpol
Nose	Nase
Not only did she win, but she also set a record.	Sie hat nicht nur gewonnen, sondern auch einen Rekord aufgestellt.
Not until later did he understand the problem.	Erst später verstand er das Problem.
Notwithstanding the risks, they proceeded.	Ungeachtet der Risiken machten sie weiter.
November	November
OK	Okay
October	Oktober
Of course.	Natürlich.
Oh!	Oh!
On the way back, I go to the supermarket.	Auf dem Rückweg gehe ich zum Supermarkt.
On the whole, the advantages outweigh the drawbacks.	Im Großen und Ganzen überwiegen die Vorteile die Nachteile.
On weekends I do things like shopping and watching movies.	Am Wochenende mache ich Dinge wie Einkaufen und Filme schauen.
Once he starts talking, he never stops.	Wenn er einmal anfängt zu reden, hört er nie auf.
One bottle of beer, please.	Eine Flasche Bier, bitte.
One glass of water, please.	Ein Glas Wasser, bitte.
One more bowl of rice, please.	Bitte noch eine Schüssel Reis.
One more time, please.	Bitte noch einmal.
One pair of shoes, please.	Ein Paar Schuhe, bitte.
One piece of cake, please.	Ein Stück Kuchen, bitte.
One slice of bread, please.	Eine Scheibe Brot, bitte.
One ticket to the airport, please.	Bitte ein Ticket zum Flughafen.
One, two, three…	Eins, zwei, drei…
Only now that things have reached this point did he realize.	Erst jetzt, wo die Dinge diesen Punkt erreicht hatten, wurde ihm klar.
Orange	Orange
Orient	Orient
Our office is in the city center.	Unser Büro liegt im Stadtzentrum.
Our teacher is very kind.	Unser Lehrer ist sehr nett.
Our understanding of the brain has grown.	Unser Verständnis des Gehirns ist gewachsen.
Outside is cold.	Draußen ist es kalt.
P.M.	P.M.
PIN number	PIN-Nummer
PM (also means afternoon)	PM (bedeutet auch Nachmittag)
Passengers must fasten their belts.	Passagiere müssen sich anschnallen.
Pen	Stift
Please be on time.	Bitte seien Sie pünktlich.
Please bring an umbrella.	Bitte bringen Sie einen Regenschirm mit.
Please call a taxi to the airport.	Bitte rufen Sie ein Taxi zum Flughafen.
Please call an ambulance.	Bitte rufen Sie einen Krankenwagen.
Please call me.	Bitte rufen Sie mich an.
